Year,Interest_Rate
2000,6.2490325318716895
2001,2.40410360881263
2002,5.49302276105764
2003,4.07529834171774
2004,5.725493106604863
2005,2.274452202875077
2006,7.229220836914258
2007,7.840933815064382
2008,7.813267131714149
2009,6.497910990457548
2010,2.780517440783792
2011,6.549579175574135
2012,2.147521498752809
2013,2.1327413091739835
2014,3.9416613148972477
2015,4.931859142427994
2016,6.622444506846759
2017,6.099772259639031
2018,4.67541623826049
2019,3.641759997689995
2020,7.982747000946267
